yrs,wad,mid,surf,vie,zag,zoo,rat,sat,pat,awn,tact,sow,lax,doer,ilk,lead,rye,any,rib,use,wilt
brim,tit,cud,sob,tub,bay,hen,cog,naps,ton,zap,par,ham,pin,six,fug,gum,cad,van,lot,rave,gobi
key,for,imp,hit,yam,rom,top,bin,hose,roe,aged,ore,hid,icy,rep,beg,fib,lie,via,sag,lacy,jab
ten,tee,bub,dye,has,bug,jar,bet,aha,gin,bud,leg,fads,woo,fax,elk,toy,doc,soso,ohm,pup,cash
yes,urn,mum,dot,huh,too,hem,dip,had,but,sky,orb,hop,cow,col
hum,hip,get,ring,arc,oak,rage,lid,act,uke,wile,sum,cob,ems,tap
peak,eve,tog,apt,egg,mow,joy,spa,yap,tin,gab,pros,rid,bog,eat
bib,ego,law,wan,dub,war,gap,wry,ran,add,gave,sips,wet,wage,bop
fig,wins,sos,lay,tab,sod,fags,won,tan,job,foe,olm
ail,era,tun,and,pap,rho,aid,gels,fro,ear,feed,led
ace,off,its,ebb,ken,fend,mix,scar,wok,bit,liny,ass
eon,far,who,yaw,mud,soy,bun,oar,gad,wed,cuds,link
tot,tie,wag,kit,rim,rem,aga,foul,tug,oil,bar,yak
cup,fool,ere,part,pen,day,one,auk,ire,pea,eye,hat
dug,bur,man,yip,aim,tomb,sad,con,yon,the,aye,sin
pro,sen,ode,nee,fob,why,colt,sip,toe,sup,ewe,ate
coy,duo,ray,baa,opt,din,gen,dam,rug,poor,jaw,was
saw,hmm,pity,dad,mad,eke,tip,frog,ban,hod,oft
outs,few,emu,ink,bad,sop,mold,ping,tar,peel,oaf
curd,shy,lop,ark,put,vat,ant,nay,mar,ria,her